recommended_structure,roof_area,region,installation_cost,payback_period
Recharge Well,52.96,Gujarat,23887.83,18.79
Recharge Pit,21.62,West Bengal,5242.81,5.39
Recharge Pit,20.54,West Bengal,5081.41,5.5
Rainwater Barrel,30.77,Tamil Nadu,4076.81,5.89
Rainwater Barrel,41.87,Rajasthan,5187.35,9.91
Recharge Well,23.01,Rajasthan,14902.55,32.38
Recharge Pit,40.26,Tamil Nadu,8039.01,7.4
Rainwater Barrel,33.7,Rajasthan,4369.78,10.37
Recharge Pit,35.81,Punjab,7371.45,9.8
Rainwater Barrel,10.0,Tamil Nadu,2000.0,8.89
Cistern,33.38,Tamil Nadu,13345.0,11.85
Infiltration Trench,29.21,Rajasthan,9842.84,19.25
Cistern,40.25,Delhi NCR,15063.15,12.47
Rainwater Barrel,23.88,West Bengal,3388.14,3.78
Infiltration Trench,27.51,Rajasthan,9501.88,19.74
Infiltration Trench,43.23,Karnataka,12646.15,8.36
Rainwater Barrel,68.23,Delhi NCR,7822.83,5.73
Rainwater Barrel,17.08,Tamil Nadu,2707.67,7.05
Recharge Pit,42.8,Delhi NCR,8420.23,8.2
Rainwater Barrel,60.94,Punjab,7094.47,6.65
Recharge Well,46.87,Gujarat,22060.64,19.61
Rainwater Barrel,58.93,Delhi NCR,6892.52,5.85
Recharge Well,25.24,Karnataka,15570.55,15.43
Rainwater Barrel,61.46,Gujarat,7146.0,7.75
Recharge Pit,23.05,Punjab,5457.86,11.27
Recharge Well,34.04,Karnataka,18212.28,13.38
Cistern,25.76,Maharashtra,11439.88,9.87
Recharge Well,26.28,Gujarat,15884.74,25.18
Recharge Pit,14.0,Maharashtra,4100.56,8.13
Recharge Well,12.36,Punjab,11706.62,33.84
Rainwater Barrel,59.64,Gujarat,6964.39,7.78
Rainwater Barrel,13.47,Gujarat,2347.05,11.62
Recharge Pit,37.53,Rajasthan,7629.95,13.55
Infiltration Trench,17.3,Karnataka,7459.22,12.32
Rainwater Barrel,21.67,West Bengal,3166.55,3.9
Cistern,46.63,Karnataka,16656.42,9.53
Recharge Pit,35.91,Delhi NCR,7386.51,8.57
Recharge Well,31.08,Maharashtra,17322.74,11.61
Recharge Well,58.69,Maharashtra,25608.02,9.09
Cistern,28.65,Karnataka,12162.57,11.32
Rainwater Barrel,61.25,Karnataka,7125.15,4.65
Recharge Pit,19.4,Gujarat,4910.01,14.06
Cistern,18.27,Maharashtra,9566.79,11.64
Rainwater Barrel,30.9,Tamil Nadu,4090.49,5.88
Recharge Pit,33.17,West Bengal,6975.46,4.67
Recharge Well,21.56,Rajasthan,14467.78,33.55
Recharge Pit,28.85,West Bengal,6326.8,4.87
Infiltration Trench,65.52,Delhi NCR,17104.35,9.32
Recharge Pit,27.19,West Bengal,6078.32,4.97
Infiltration Trench,12.58,Rajasthan,6515.26,29.6
Recharge Pit,13.85,Delhi NCR,4077.6,12.27
Infiltration Trench,94.0,Punjab,22800.34,9.9
Recharge Well,68.39,Gujarat,28518.26,17.37
Rainwater Barrel,26.63,Karnataka,3662.9,5.5
Infiltration Trench,49.66,Karnataka,13932.96,8.02
Infiltration Trench,37.72,Tamil Nadu,11544.14,9.72
Recharge Well,62.51,West Bengal,26751.62,7.13
Infiltration Trench,19.38,Maharashtra,7876.57,9.68
Cistern,19.66,Maharashtra,9914.65,11.21
Recharge Well,64.05,Rajasthan,27215.39,21.24
Cistern,15.7,Rajasthan,8923.89,30.32
Recharge Well,34.29,Rajasthan,18287.49,26.66
Infiltration Trench,32.38,Maharashtra,10476.7,7.7
Cistern,49.02,Karnataka,17253.8,9.39
Infiltration Trench,35.51,Maharashtra,11102.89,7.44
Recharge Well,31.0,Rajasthan,17299.93,27.9
Infiltration Trench,27.38,Gujarat,9475.55,16.48
Cistern,20.14,Delhi NCR,10034.44,16.61
Cistern,30.48,Karnataka,12619.09,11.04
Infiltration Trench,59.3,Gujarat,15859.29,12.74
Recharge Pit,28.7,Punjab,6305.59,10.46
Recharge Well,66.9,West Bengal,28068.62,6.99
Recharge Well,47.73,Gujarat,22318.17,19.48
Infiltration Trench,42.03,West Bengal,12405.21,5.62
Recharge Pit,30.54,Gujarat,6581.23,11.97
Cistern,24.19,Punjab,11046.63,17.4
Rainwater Barrel,76.77,Gujarat,8676.85,7.54
Rainwater Barrel,49.24,Delhi NCR,5924.42,6.02
Infiltration Trench,30.89,Karnataka,10177.24,9.41
Recharge Pit,77.44,West Bengal,13616.63,3.91
Recharge Pit,45.35,Tamil Nadu,8803.24,7.19
Recharge Well,16.28,Maharashtra,12883.09,16.49
Cistern,26.76,Punjab,11688.87,16.64
Recharge Pit,47.63,West Bengal,9145.15,4.27
Rainwater Barrel,70.37,Karnataka,8037.12,4.57
Cistern,107.84,Rajasthan,31960.05,15.81
Cistern,33.54,West Bengal,13385.38,7.09
Infiltration Trench,45.07,Delhi NCR,13013.14,10.31
Recharge Pit,24.39,Tamil Nadu,5658.63,8.59
Infiltration Trench,21.25,Delhi NCR,8249.76,13.87
Recharge Pit,14.25,West Bengal,4138.21,6.45
Recharge Well,40.25,Delhi NCR,20073.66,15.59
Infiltration Trench,62.32,Rajasthan,16463.65,15.1
Infiltration Trench,48.81,Tamil Nadu,13762.05,8.95
Rainwater Barrel,34.59,Maharashtra,4459.01,4.3
Infiltration Trench,61.06,Delhi NCR,16211.37,9.48
Recharge Pit,144.8,Rajasthan,23720.63,10.92
Rainwater Barrel,21.85,Punjab,3184.9,8.33
Infiltration Trench,10.0,Rajasthan,6000.0,34.29
Infiltration Trench,39.3,Gujarat,11859.8,14.37
Recharge Well,56.9,West Bengal,25069.31,7.34
Infiltration Trench,15.28,Karnataka,7055.35,13.2
Cistern,50.22,West Bengal,17554.51,6.21
Rainwater Barrel,27.98,West Bengal,3797.88,3.62
Cistern,39.19,Rajasthan,14797.5,20.14
Rainwater Barrel,20.92,Rajasthan,3091.55,11.82
Recharge Well,20.28,Rajasthan,14084.56,34.72
Infiltration Trench,19.06,West Bengal,7812.35,7.81
Infiltration Trench,46.24,Maharashtra,13247.16,6.82
Infiltration Trench,24.24,Delhi NCR,8847.2,13.04
Rainwater Barrel,37.9,Maharashtra,4789.71,4.21
Infiltration Trench,33.61,Tamil Nadu,10721.53,10.13
Cistern,18.36,Rajasthan,9588.87,27.86
Infiltration Trench,34.4,Rajasthan,10879.9,18.07
Recharge Well,37.28,Gujarat,19184.51,21.44
Cistern,56.33,Gujarat,19083.75,15.06
Infiltration Trench,69.91,Punjab,17981.44,10.5
Infiltration Trench,19.89,Punjab,7978.18,16.37
Recharge Pit,39.54,Gujarat,7931.6,11.14
Rainwater Barrel,10.93,Tamil Nadu,2092.82,8.51
Cistern,50.68,Punjab,17671.08,13.28
Recharge Pit,57.32,Karnataka,10598.01,6.16
Recharge Well,10.0,Karnataka,11000.0,27.5
Rainwater Barrel,27.95,Tamil Nadu,3794.93,6.03
Cistern,21.15,Gujarat,10286.51,21.62
Infiltration Trench,27.91,Punjab,9582.7,14.01
Cistern,25.28,Rajasthan,11320.14,23.88
Infiltration Trench,32.4,Gujarat,10480.18,15.4
Rainwater Barrel,54.25,Punjab,6425.31,6.77
Infiltration Trench,28.31,Tamil Nadu,9661.51,10.84
Recharge Well,20.21,Karnataka,14063.61,17.4
Infiltration Trench,30.0,West Bengal,9999.9,6.35
Recharge Well,29.18,Tamil Nadu,16753.07,15.95
Rainwater Barrel,31.71,West Bengal,4171.22,3.51
Rainwater Barrel,24.19,Punjab,3419.17,8.08
Cistern,39.7,Tamil Nadu,14924.63,11.14
Recharge Well,63.23,Punjab,26967.76,15.23
Recharge Well,17.56,Punjab,13267.37,26.99
Recharge Pit,41.49,West Bengal,8222.91,4.4
Recharge Pit,53.51,Tamil Nadu,10026.47,6.94
Recharge Pit,26.66,Delhi NCR,5998.43,9.38
Infiltration Trench,61.94,Rajasthan,16387.18,15.12
Recharge Pit,32.13,Gujarat,6819.12,11.79
Recharge Well,18.86,Karnataka,13657.82,18.1
Infiltration Trench,17.54,Rajasthan,7507.08,24.46
Rainwater Barrel,49.03,Gujarat,5902.86,8.03
Cistern,46.83,Gujarat,16706.39,15.86
Recharge Pit,72.4,Karnataka,12859.34,5.92
Rainwater Barrel,46.31,Rajasthan,5631.01,9.73
Recharge Well,31.51,Karnataka,17452.61,13.85
Cistern,42.15,Punjab,15536.65,14.04
Rainwater Barrel,34.33,Karnataka,4433.08,5.17
Cistern,28.04,West Bengal,12010.57,7.61
Recharge Pit,25.16,West Bengal,5774.24,5.1
Recharge Well,13.99,Tamil Nadu,12197.63,24.22
Cistern,22.85,Delhi NCR,10712.36,15.63
Rainwater Barrel,32.79,Delhi NCR,4279.17,6.52
Recharge Pit,10.0,Delhi NCR,3500.0,14.58
Recharge Pit,25.6,Rajasthan,5839.9,15.21
Rainwater Barrel,52.47,West Bengal,6247.24,3.17
Rainwater Barrel,64.82,Rajasthan,7482.0,9.23
Cistern,25.44,Punjab,11359.71,17.01
Infiltration Trench,24.97,Maharashtra,8993.13,8.58
Recharge Pit,23.1,Delhi NCR,5465.61,9.86
Cistern,25.05,Punjab,11262.07,17.13
Rainwater Barrel,58.63,West Bengal,6863.46,3.12
Cistern,74.78,Maharashtra,23696.0,7.04
Rainwater Barrel,14.24,Delhi NCR,2423.58,8.51
Recharge Well,22.07,Rajasthan,14621.32,33.12
Rainwater Barrel,13.04,Maharashtra,2304.32,5.89
Rainwater Barrel,32.64,Tamil Nadu,4264.47,5.81
Rainwater Barrel,25.94,Tamil Nadu,3594.08,6.16
Infiltration Trench,39.63,Tamil Nadu,11925.0,9.55
Rainwater Barrel,46.14,Karnataka,5613.67,4.87
Recharge Pit,43.65,Tamil Nadu,8547.03,7.25
Recharge Pit,14.54,Gujarat,4181.28,15.97
Cistern,32.69,Delhi NCR,13173.15,13.43
Infiltration Trench,14.18,Tamil Nadu,6836.87,15.3
Cistern,78.92,Maharashtra,24730.03,6.96
Recharge Pit,27.73,West Bengal,6160.11,4.94
Recharge Pit,16.72,Gujarat,4508.41,14.98
Recharge Well,25.23,Gujarat,15567.74,25.71
Rainwater Barrel,36.74,Gujarat,4674.28,8.48
Recharge Pit,47.78,Punjab,9167.12,9.14
Cistern,63.44,Maharashtra,20860.95,7.31
Cistern,34.17,Punjab,13543.41,15.1
Rainwater Barrel,28.02,Gujarat,3802.46,9.05
Rainwater Barrel,46.64,Karnataka,5664.36,4.86
Recharge Well,46.01,Tamil Nadu,21802.44,13.16
Infiltration Trench,35.14,West Bengal,11028.35,5.98
Cistern,49.64,Delhi NCR,17410.18,11.69
Rainwater Barrel,24.41,Maharashtra,3440.71,4.7
Cistern,32.72,Karnataka,13180.02,10.74
Rainwater Barrel,11.98,Rajasthan,2198.33,14.68
Recharge Pit,66.35,Punjab,11952.4,8.58
Cistern,25.9,Tamil Nadu,11474.43,13.13
Recharge Pit,66.54,Tamil Nadu,11980.79,6.67
Cistern,23.85,Rajasthan,10963.22,24.51
Infiltration Trench,38.52,Rajasthan,11703.49,17.36
Recharge Well,34.03,Maharashtra,18210.32,11.15
Recharge Pit,24.51,Tamil Nadu,5676.21,8.58
Rainwater Barrel,42.09,Rajasthan,5208.98,9.9
Infiltration Trench,62.71,Tamil Nadu,16541.42,8.37
Cistern,81.04,Karnataka,25259.04,8.31
Recharge Pit,48.01,Maharashtra,9201.16,5.32
Cistern,18.08,West Bengal,9520.8,9.36
Cistern,16.4,Rajasthan,9099.71,29.59
Cistern,58.53,Karnataka,19631.45,8.94
Recharge Well,20.11,Karnataka,14033.83,17.44
Recharge Well,45.06,Rajasthan,21517.76,23.88
Rainwater Barrel,35.41,Maharashtra,4540.91,4.27
Recharge Pit,64.03,Tamil Nadu,11604.49,6.71
Infiltration Trench,42.73,West Bengal,12546.64,5.59
Infiltration Trench,32.61,Gujarat,10522.6,15.36
Infiltration Trench,92.82,Tamil Nadu,22563.27,7.72
Cistern,49.98,Delhi NCR,17495.01,11.67
Recharge Well,43.7,Rajasthan,21110.24,24.15
Recharge Pit,23.54,Punjab,5530.99,11.19
Cistern,18.67,Maharashtra,9666.38,11.51
Recharge Well,29.09,Rajasthan,16725.88,28.75
Recharge Well,15.65,Delhi NCR,12695.55,25.35
Recharge Pit,28.19,Karnataka,6228.69,7.36
Recharge Pit,49.43,Punjab,9413.9,9.07
Recharge Pit,54.1,Punjab,10115.49,8.9
Cistern,27.91,Tamil Nadu,11977.59,12.72
Rainwater Barrel,143.74,Gujarat,15373.73,7.13
Recharge Pit,62.59,Tamil Nadu,11389.11,6.74
Rainwater Barrel,32.62,Maharashtra,4262.29,4.36
Cistern,58.6,Punjab,19649.66,12.77
Rainwater Barrel,24.79,West Bengal,3478.54,3.74
Infiltration Trench,37.6,West Bengal,11519.65,5.84
Rainwater Barrel,27.65,Punjab,3765.25,7.78
Recharge Pit,18.07,West Bengal,4710.12,5.79
Cistern,43.22,West Bengal,15805.13,6.5
Recharge Pit,33.02,Gujarat,6952.68,11.7
Infiltration Trench,34.27,Maharashtra,10853.12,7.54
Recharge Pit,32.67,Rajasthan,6900.38,14.08
Recharge Pit,21.14,Gujarat,5170.31,13.59
Recharge Pit,73.27,Karnataka,12990.69,5.91
Recharge Well,37.5,Tamil Nadu,19250.32,14.26
Infiltration Trench,28.98,West Bengal,9795.48,6.44
Recharge Pit,17.21,Rajasthan,4581.25,17.75
Recharge Pit,66.8,Tamil Nadu,12019.87,6.66
Recharge Pit,52.39,West Bengal,9858.06,4.18
Cistern,33.14,Gujarat,13285.11,17.82
Recharge Well,17.43,Rajasthan,13227.65,37.95
Cistern,75.9,Gujarat,23975.93,14.04
Recharge Well,27.59,Karnataka,16278.25,14.75
Recharge Pit,23.67,Delhi NCR,5550.63,9.77
Infiltration Trench,32.31,Punjab,10462.4,13.22
Rainwater Barrel,39.95,Maharashtra,4994.76,4.17
Rainwater Barrel,30.44,Rajasthan,4043.77,10.63
Recharge Pit,10.0,Punjab,3500.0,16.67
Cistern,37.52,Delhi NCR,14379.43,12.78
Infiltration Trench,52.53,Rajasthan,14505.02,15.78
Recharge Well,21.21,Punjab,14363.01,24.18
Recharge Pit,72.26,Punjab,12839.06,8.46
Infiltration Trench,51.29,Rajasthan,14257.38,15.89
Infiltration Trench,41.86,Punjab,12372.48,12.06
Recharge Well,19.94,Punjab,13983.36,25.04
Infiltration Trench,38.07,Rajasthan,11614.06,17.43
Cistern,39.55,Maharashtra,14886.5,8.37
Cistern,31.79,Punjab,12946.6,15.52
Cistern,51.71,Punjab,17927.74,13.21
Infiltration Trench,27.65,Maharashtra,9530.05,8.21
Cistern,28.91,Tamil Nadu,12227.49,12.53
Recharge Well,23.73,Karnataka,15119.53,15.93
Infiltration Trench,26.43,Tamil Nadu,9285.38,11.15
Rainwater Barrel,30.72,West Bengal,4072.28,3.53
Infiltration Trench,30.17,Delhi NCR,10034.59,11.88
Recharge Well,29.5,Tamil Nadu,16850.81,15.87
Rainwater Barrel,52.56,Tamil Nadu,6256.49,5.29
Infiltration Trench,70.2,Delhi NCR,18040.01,9.18
Cistern,17.45,Punjab,9361.34,20.44
Recharge Pit,69.39,Punjab,12408.37,8.52
Recharge Pit,46.4,Tamil Nadu,8959.54,7.15
Cistern,21.19,Delhi NCR,10297.14,16.2
Recharge Pit,28.08,Punjab,6212.0,10.53
Recharge Pit,38.17,Gujarat,7725.18,11.24
Cistern,14.48,Rajasthan,8619.0,31.75
Cistern,31.71,Rajasthan,12927.47,21.74
Infiltration Trench,43.07,Karnataka,12613.54,8.37
Infiltration Trench,22.82,Rajasthan,8564.81,21.44
Cistern,15.8,Tamil Nadu,8950.25,16.78
Recharge Well,36.57,Rajasthan,18972.03,25.94
Recharge Pit,99.9,Rajasthan,16984.33,11.33
Infiltration Trench,23.18,Gujarat,8636.44,17.74
Recharge Pit,23.49,Punjab,5523.16,11.2
Rainwater Barrel,29.96,Gujarat,3995.67,8.89
Cistern,72.59,Tamil Nadu,23148.16,9.45
Recharge Well,14.49,Rajasthan,12348.47,42.6
Rainwater Barrel,48.66,Maharashtra,5866.27,4.02
Rainwater Barrel,26.17,Punjab,3616.79,7.9
Rainwater Barrel,27.32,Karnataka,3732.08,5.46
Cistern,19.98,Karnataka,9995.92,13.34
Infiltration Trench,29.24,West Bengal,9847.86,6.42
Cistern,20.27,West Bengal,10068.56,8.83
Infiltration Trench,25.25,Rajasthan,9050.07,20.48
Rainwater Barrel,10.0,Rajasthan,2000.0,16.0
Rainwater Barrel,13.92,Karnataka,2391.61,6.87
Recharge Well,39.19,Karnataka,19756.29,12.6
Infiltration Trench,62.25,Maharashtra,16449.44,6.29
Rainwater Barrel,166.49,Tamil Nadu,17648.66,4.71
Recharge Pit,52.58,Rajasthan,9886.53,12.54
Recharge Well,25.6,Karnataka,15680.45,15.31
Cistern,12.28,Maharashtra,8070.65,14.6
Recharge Well,43.37,Delhi NCR,21012.5,15.14
Recharge Pit,16.02,Karnataka,4402.76,9.16
Infiltration Trench,22.12,Punjab,8423.69,15.54
Cistern,51.57,Punjab,17893.45,13.22
Cistern,38.36,Delhi NCR,14590.84,12.68
Infiltration Trench,20.81,West Bengal,8162.14,7.47
Recharge Well,14.11,Tamil Nadu,12232.65,24.08
Rainwater Barrel,36.82,West Bengal,4682.3,3.39
Recharge Well,39.17,Rajasthan,19750.26,25.21
Recharge Pit,70.24,West Bengal,12536.14,3.97
Rainwater Barrel,10.0,Rajasthan,2000.0,16.0
Recharge Well,35.13,Karnataka,18539.56,13.19
Infiltration Trench,52.37,Punjab,14474.53,11.28
Recharge Pit,26.84,Tamil Nadu,6025.93,8.32
Recharge Pit,14.9,Tamil Nadu,4235.69,10.53
Recharge Pit,20.86,Tamil Nadu,5128.29,9.11
Rainwater Barrel,33.74,Karnataka,4374.08,5.19
Cistern,25.96,Rajasthan,11489.63,23.61
Rainwater Barrel,38.55,Tamil Nadu,4854.95,5.6
Recharge Well,62.78,Karnataka,26834.75,10.69
Cistern,27.12,Karnataka,11780.44,11.58
Recharge Well,60.94,Delhi NCR,26281.51,13.48
Cistern,31.25,Gujarat,12813.7,18.22
Rainwater Barrel,39.23,West Bengal,4923.09,3.35
Recharge Pit,31.23,Tamil Nadu,6684.82,7.93
Infiltration Trench,39.74,Gujarat,11948.45,14.32
Recharge Pit,43.35,Rajasthan,8502.91,13.08
Rainwater Barrel,45.65,Karnataka,5564.55,4.88
Cistern,33.17,Maharashtra,13292.3,8.91
Recharge Pit,10.0,West Bengal,3500.0,7.78
Rainwater Barrel,44.6,West Bengal,5460.16,3.26
Recharge Well,12.36,Tamil Nadu,11709.45,26.31
Infiltration Trench,24.45,Maharashtra,8889.64,8.66
Recharge Pit,10.02,Punjab,3502.69,16.65
Cistern,77.42,Rajasthan,24355.61,16.78
Recharge Well,40.8,Delhi NCR,20239.63,15.5
Rainwater Barrel,28.14,Delhi NCR,3813.72,6.78
Infiltration Trench,67.32,Gujarat,17463.93,12.35
Cistern,43.21,Karnataka,15801.88,9.75
Rainwater Barrel,35.24,Gujarat,4524.4,8.56
Rainwater Barrel,40.35,Punjab,5034.92,7.13
Recharge Pit,27.36,Punjab,6103.54,10.62
Recharge Pit,17.82,West Bengal,4672.56,5.83
Cistern,53.54,Delhi NCR,18385.22,11.45
Rainwater Barrel,31.96,Maharashtra,4196.1,4.38
Recharge Pit,13.74,Tamil Nadu,4061.26,10.95
Infiltration Trench,42.68,Delhi NCR,12535.64,10.49
Infiltration Trench,33.8,Delhi NCR,10759.78,11.37
Rainwater Barrel,77.47,Maharashtra,8747.15,3.76
Recharge Pit,37.87,West Bengal,7681.11,4.51
Cistern,18.35,West Bengal,9586.78,9.29
Cistern,13.53,Maharashtra,8382.55,13.77
Cistern,62.31,Punjab,20577.9,12.58
Infiltration Trench,32.08,Maharashtra,10415.71,7.73
Recharge Pit,21.48,Gujarat,5221.92,13.51
Recharge Pit,23.11,Punjab,5466.16,11.26
Infiltration Trench,63.38,Maharashtra,16676.3,6.26
Cistern,41.93,Karnataka,15481.48,9.85
Cistern,57.32,Punjab,19329.13,12.85
Rainwater Barrel,37.44,Punjab,4743.5,7.24
Recharge Well,21.8,Delhi NCR,14538.55,20.85
Recharge Pit,80.91,Tamil Nadu,14135.91,6.47
Recharge Pit,27.23,Delhi NCR,6085.14,9.31
Recharge Pit,49.51,Rajasthan,9426.73,12.69
Recharge Well,56.95,Punjab,25083.87,15.73
Rainwater Barrel,33.22,Maharashtra,4321.94,4.34
Recharge Well,18.98,Maharashtra,13694.02,15.03
Cistern,23.59,Maharashtra,10898.08,10.27
Cistern,46.46,Punjab,16615.0,13.62
Recharge Pit,43.25,Maharashtra,8486.93,5.45
Infiltration Trench,63.46,Rajasthan,16691.01,15.03
Recharge Pit,58.54,Punjab,10780.45,8.77
Infiltration Trench,20.56,Maharashtra,8112.69,9.39
Recharge Well,68.16,Punjab,28447.24,14.91
Cistern,19.82,Karnataka,9956.09,13.39
Infiltration Trench,44.58,Punjab,12917.0,11.83
Recharge Well,111.13,Rajasthan,41340.06,18.6
Cistern,38.72,Delhi NCR,14678.9,12.64
Infiltration Trench,13.61,Punjab,6721.47,20.16
Recharge Pit,28.14,Tamil Nadu,6220.41,8.19
Recharge Pit,98.24,Rajasthan,16736.08,11.36
Recharge Pit,29.86,Gujarat,6478.69,12.05
Recharge Well,64.3,Karnataka,27288.79,10.61
Recharge Pit,20.53,Rajasthan,5078.89,16.5
Rainwater Barrel,27.72,Delhi NCR,3772.02,6.8
Cistern,29.73,Maharashtra,12432.44,9.29
Recharge Well,87.83,Maharashtra,34350.42,8.15
Recharge Pit,28.42,Rajasthan,6262.73,14.69
Cistern,12.9,Gujarat,8225.17,28.34
Infiltration Trench,108.96,Maharashtra,25792.23,5.64
Recharge Pit,37.1,Karnataka,7565.65,6.8
Cistern,45.94,Tamil Nadu,16484.95,10.63
Rainwater Barrel,14.83,Gujarat,2482.88,11.16
Infiltration Trench,37.67,West Bengal,11534.14,5.83
Rainwater Barrel,33.43,West Bengal,4343.32,3.46
Cistern,20.43,Rajasthan,10106.82,26.39
Rainwater Barrel,46.25,Gujarat,5624.61,8.11
Cistern,14.11,Maharashtra,8527.25,13.43
Cistern,20.36,Maharashtra,10088.86,11.01
Rainwater Barrel,60.7,Rajasthan,7070.2,9.32
Cistern,23.04,Maharashtra,10759.14,10.38
Recharge Pit,25.88,Maharashtra,5881.42,6.31
Cistern,34.64,Tamil Nadu,13659.92,11.68
Recharge Well,27.5,Tamil Nadu,16248.68,16.42
Cistern,46.78,Delhi NCR,16694.86,11.9
Recharge Well,36.16,Tamil Nadu,18848.39,14.48
Cistern,15.59,Punjab,8897.69,21.74
Cistern,22.93,Gujarat,10733.17,20.8
Rainwater Barrel,21.73,Gujarat,3172.54,9.74
Recharge Pit,26.27,Rajasthan,5939.98,15.08
Recharge Pit,35.02,Tamil Nadu,7253.36,7.67
Infiltration Trench,38.6,Delhi NCR,11719.16,10.84
Rainwater Barrel,10.14,Maharashtra,2013.54,6.62
Rainwater Barrel,55.29,Delhi NCR,6528.66,5.9
Recharge Pit,31.64,Delhi NCR,6746.68,8.88
Rainwater Barrel,18.91,Karnataka,2891.21,6.12
Recharge Pit,53.31,Maharashtra,9996.79,5.21
Rainwater Barrel,11.56,Punjab,2155.61,10.66
Cistern,15.06,Tamil Nadu,8765.36,17.24
Recharge Pit,96.02,Maharashtra,16403.31,4.75
Recharge Pit,35.63,Delhi NCR,7344.31,8.59
Recharge Well,22.91,Maharashtra,14871.65,13.53
Rainwater Barrel,34.96,Punjab,4496.16,7.35
Rainwater Barrel,30.24,Gujarat,4024.15,8.87
Recharge Pit,33.71,Rajasthan,7056.97,13.95
Cistern,42.29,Tamil Nadu,15572.68,10.91
Cistern,29.99,Tamil Nadu,12498.43,12.35
Cistern,39.54,Karnataka,14885.32,10.04
Rainwater Barrel,30.6,Gujarat,4059.96,8.85
Recharge Well,21.97,Tamil Nadu,14590.27,18.45
Recharge Pit,19.05,Karnataka,4857.21,8.5
Infiltration Trench,64.04,Karnataka,16808.39,7.5
Recharge Well,45.77,Karnataka,21732.03,11.87
Infiltration Trench,55.62,West Bengal,15123.87,5.18
Recharge Well,33.18,Tamil Nadu,17953.36,15.03
Cistern,37.07,Tamil Nadu,14267.75,11.4
Rainwater Barrel,30.29,Tamil Nadu,4029.0,5.91
Infiltration Trench,59.07,Punjab,15814.26,10.93
Recharge Well,27.87,Karnataka,16361.22,14.68
Rainwater Barrel,20.25,Punjab,3024.65,8.54
Infiltration Trench,42.98,Rajasthan,12595.17,16.75
Recharge Pit,30.69,Tamil Nadu,6603.48,7.97
Recharge Well,37.52,West Bengal,19256.96,8.55
Recharge Pit,47.26,Maharashtra,9088.28,5.34
Cistern,24.79,Gujarat,11197.49,20.08
Recharge Pit,29.68,West Bengal,6452.29,4.83
Recharge Pit,28.35,Delhi NCR,6253.21,9.19
Recharge Well,63.02,Rajasthan,26904.93,21.35
Cistern,33.35,Maharashtra,13338.35,8.89
Recharge Pit,35.81,Delhi NCR,7371.29,8.58
Rainwater Barrel,18.57,Delhi NCR,2857.43,7.69
Infiltration Trench,47.72,Tamil Nadu,13544.45,9.01
Recharge Pit,41.02,Gujarat,8152.96,11.04
Cistern,21.81,Delhi NCR,10452.57,15.97
Recharge Pit,86.62,Karnataka,14992.56,5.77
Infiltration Trench,39.2,Maharashtra,11839.38,7.19
Cistern,24.24,West Bengal,11061.16,8.11
Recharge Well,33.07,West Bengal,17920.48,9.03
Cistern,27.54,Delhi NCR,11885.51,14.38
Recharge Well,71.66,Rajasthan,29498.13,20.58
Cistern,52.8,Gujarat,18201.05,15.32
Infiltration Trench,41.55,Gujarat,12311.0,14.11
Infiltration Trench,78.13,West Bengal,19626.76,4.78
Cistern,19.71,Delhi NCR,9926.31,16.79
Recharge Pit,48.81,Gujarat,9321.6,10.61
Infiltration Trench,43.54,Rajasthan,12707.52,16.68
Recharge Well,29.51,West Bengal,16853.39,9.52
Recharge Well,29.58,Maharashtra,16873.18,11.88
Rainwater Barrel,52.54,Rajasthan,6254.08,9.52
Recharge Well,50.65,Rajasthan,23195.08,22.9
Rainwater Barrel,16.26,Karnataka,2626.26,6.46
Cistern,82.12,Tamil Nadu,25530.59,9.21
Cistern,58.64,Delhi NCR,19659.45,11.18
Cistern,28.77,Maharashtra,12191.76,9.42
Recharge Pit,22.3,West Bengal,5344.29,5.33
Recharge Pit,57.7,Gujarat,10654.7,10.26
Rainwater Barrel,42.44,Rajasthan,5244.46,9.88
Recharge Well,47.38,West Bengal,22214.05,7.81
Recharge Well,44.05,Delhi NCR,21216.35,15.05
Cistern,60.78,Maharashtra,20195.2,7.38
Infiltration Trench,50.8,Maharashtra,14160.73,6.64
Recharge Pit,25.36,Delhi NCR,5803.57,9.54
Recharge Pit,24.63,Tamil Nadu,5693.78,8.56
Cistern,39.57,Karnataka,14891.55,10.04
Recharge Pit,104.05,Gujarat,17607.53,9.4
Cistern,30.73,Karnataka,12681.48,11.01
Rainwater Barrel,39.71,Maharashtra,4970.83,4.17
Recharge Well,51.8,Gujarat,23538.56,18.94
Infiltration Trench,26.85,Maharashtra,9370.69,8.31
Recharge Well,49.34,Rajasthan,22802.1,23.11
Recharge Well,33.35,Rajasthan,18004.32,26.99
Rainwater Barrel,61.86,Delhi NCR,7186.46,5.81
Recharge Pit,20.65,Gujarat,5097.47,13.71
Infiltration Trench,105.31,Gujarat,25062.74,11.33
Recharge Pit,28.33,Maharashtra,6248.79,6.13
Recharge Well,42.98,Karnataka,20893.97,12.15
Cistern,33.2,Rajasthan,13299.09,21.37
Recharge Well,19.31,Punjab,13793.29,25.51
Recharge Pit,50.23,Delhi NCR,9534.62,7.91
Recharge Well,29.02,West Bengal,16704.77,9.6
Cistern,43.07,Gujarat,15767.86,16.27
