roof_type,roof_age,region,location,runoff_coefficient
Stone Slabs,37,Urban,Jaipur,0.713
Ceramic Tiles,41,Urban,Bhopal,0.8306
Concrete Roof,34,Rural,Wardha,0.6488
Ceramic Tiles,6,Rural,Hisar,0.7865
Galvanized Iron Sheet,37,Urban,Hyderabad,0.8692
Stone Slabs,45,Urban,Hyderabad,0.7168
Metal Roofs,49,Urban,Kolkata,0.8805
Tiled Roof,4,Urban,Hyderabad,0.7355
Asbestos Sheet,8,Rural,Wardha,0.7378
Ceramic Tiles,6,Urban,Patna,0.8188
Terracotta and Clay Tiles,30,Urban,Hyderabad,0.8201
Terracotta and Clay Tiles,25,Urban,Ahmedabad,0.8199
Tiled Roof,33,Urban,Mumbai,0.7126
Asbestos Sheet,23,Urban,Pune,0.7783
Metal Roofs,22,Urban,Mumbai,0.8825
Ceramic Tiles,7,Urban,Patna,0.8071
Stone Slabs,19,Rural,Bathinda,0.7049
Metal Roofs,46,Rural,Hisar,0.859
Modern Composite Sheets,24,Urban,Mumbai,0.8185
Concrete Roof,28,Rural,Anantapur,0.6488
Stone Slabs,12,Urban,Bhopal,0.7119
Terracotta and Clay Tiles,1,Urban,Kolkata,0.8034
Metal Roofs,33,Rural,Hisar,0.8574
Galvanized Iron Sheet,22,Rural,Sambalpur,0.8468
Metal Roofs,10,Rural,Sagar,0.8616
Metal Roofs,47,Rural,Tezpur,0.849
Ceramic Tiles,19,Rural,Anantapur,0.7991
Asbestos Sheet,25,Urban,Kolkata,0.7506
Galvanized Iron Sheet,32,Rural,Purnia,0.8325
Asbestos Sheet,10,Rural,Sambalpur,0.712
Metal Roofs,16,Rural,Hisar,0.8471
Concrete Roof,31,Urban,Ahmedabad,0.6677
Terracotta and Clay Tiles,19,Urban,Mumbai,0.8231
Ceramic Tiles,43,Urban,Mumbai,0.831
Asbestos Sheet,37,Urban,Jaipur,0.7667
Galvanized Iron Sheet,27,Urban,Patna,0.896
Ceramic Tiles,4,Rural,Purnia,0.8112
Stone Slabs,7,Rural,Hisar,0.6838
Tiled Roof,32,Rural,Sagar,0.7113
Asbestos Sheet,33,Urban,Delhi,0.7832
Ceramic Tiles,10,Rural,Sambalpur,0.8149
Terracotta and Clay Tiles,5,Urban,Chennai,0.8478
Metal Roofs,43,Rural,Raichur,0.8322
Terracotta and Clay Tiles,2,Urban,Lucknow,0.8148
Modern Composite Sheets,11,Rural,Wardha,0.8341
Concrete Roof,26,Urban,Pune,0.662
Metal Roofs,50,Rural,Tezpur,0.8367
Lime-Finished Roofs,11,Urban,Bengaluru,0.6622
Metal Roofs,17,Rural,Anantapur,0.861
Terracotta and Clay Tiles,35,Urban,Lucknow,0.7939
Galvanized Iron Sheet,31,Rural,Sagar,0.8415
Stone Slabs,42,Rural,Tezpur,0.7015
Asbestos Sheet,45,Urban,Bhopal,0.7658
Metal Roofs,19,Rural,Gorakhpur,0.8528
Modern Composite Sheets,12,Rural,Wardha,0.8557
Stone Slabs,47,Rural,Sambalpur,0.6827
Tiled Roof,14,Urban,Chennai,0.7172
Galvanized Iron Sheet,30,Rural,Sagar,0.8487
Concrete Roof,16,Rural,Sambalpur,0.6438
Modern Composite Sheets,14,Urban,Kolkata,0.8111
Modern Composite Sheets,18,Rural,Sambalpur,0.8154
Asbestos Sheet,49,Rural,Purnia,0.7268
Galvanized Iron Sheet,6,Rural,Bathinda,0.8361
Galvanized Iron Sheet,20,Rural,Gorakhpur,0.8299
Concrete Roof,25,Rural,Sambalpur,0.6508
Asbestos Sheet,29,Rural,Bathinda,0.7524
Metal Roofs,36,Rural,Jaisalmer,0.8372
Terracotta and Clay Tiles,23,Urban,Bengaluru,0.8424
Modern Composite Sheets,12,Rural,Anantapur,0.8299
Modern Composite Sheets,42,Urban,Delhi,0.8511
Lime-Finished Roofs,44,Urban,Pune,0.6677
Metal Roofs,10,Rural,Shillong,0.8577
Galvanized Iron Sheet,38,Rural,Anantapur,0.8435
Concrete Roof,30,Rural,Purnia,0.6762
Terracotta and Clay Tiles,47,Urban,Delhi,0.7846
Metal Roofs,46,Urban,Jaipur,0.8591
Galvanized Iron Sheet,27,Urban,Ahmedabad,0.8461
Concrete Roof,47,Rural,Gorakhpur,0.6342
Stone Slabs,4,Rural,Tezpur,0.6954
Stone Slabs,29,Urban,Pune,0.7253
Asbestos Sheet,44,Urban,Lucknow,0.7479
Lime-Finished Roofs,45,Urban,Ahmedabad,0.6636
Terracotta and Clay Tiles,6,Urban,Jaipur,0.838
Asbestos Sheet,12,Urban,Jaipur,0.7544
Lime-Finished Roofs,24,Rural,Hisar,0.6565
Lime-Finished Roofs,30,Rural,Wardha,0.6631
Metal Roofs,3,Urban,Delhi,0.8501
Tiled Roof,50,Urban,Pune,0.7014
Asbestos Sheet,40,Urban,Ahmedabad,0.76
Metal Roofs,30,Urban,Pune,0.8729
Ceramic Tiles,39,Urban,Mumbai,0.8136
Ceramic Tiles,1,Urban,Ahmedabad,0.8068
Tiled Roof,48,Rural,Hisar,0.6768
Terracotta and Clay Tiles,23,Urban,Kolkata,0.8135
Ceramic Tiles,40,Rural,Raichur,0.7909
Terracotta and Clay Tiles,28,Rural,Tezpur,0.7657
Terracotta and Clay Tiles,27,Rural,Tezpur,0.796
Metal Roofs,34,Rural,Bathinda,0.8612
Concrete Roof,16,Rural,Sagar,0.6661
Stone Slabs,26,Urban,Patna,0.7146
Galvanized Iron Sheet,7,Urban,Lucknow,0.9016
Ceramic Tiles,14,Urban,Delhi,0.8112
Lime-Finished Roofs,42,Urban,Chennai,0.6508
Asbestos Sheet,26,Rural,Sambalpur,0.7301
Tiled Roof,28,Urban,Bhopal,0.7418
Lime-Finished Roofs,6,Rural,Anantapur,0.6726
Tiled Roof,19,Urban,Bhopal,0.7272
Galvanized Iron Sheet,6,Rural,Shillong,0.8664
Stone Slabs,33,Rural,Hisar,0.675
Stone Slabs,33,Rural,Gorakhpur,0.7037
Stone Slabs,6,Rural,Anantapur,0.6927
Lime-Finished Roofs,3,Urban,Bengaluru,0.6837
Ceramic Tiles,18,Rural,Gorakhpur,0.7665
Concrete Roof,26,Rural,Sagar,0.6259
Lime-Finished Roofs,20,Rural,Jaisalmer,0.6479
Stone Slabs,37,Urban,Kolkata,0.7314
Galvanized Iron Sheet,45,Rural,Bathinda,0.8545
Lime-Finished Roofs,12,Rural,Shillong,0.6608
Metal Roofs,22,Urban,Chennai,0.8727
Galvanized Iron Sheet,3,Urban,Delhi,0.8792
Stone Slabs,25,Urban,Bhopal,0.7161
Modern Composite Sheets,18,Urban,Ahmedabad,0.8497
Modern Composite Sheets,3,Rural,Raichur,0.8371
Lime-Finished Roofs,12,Rural,Shillong,0.6303
Stone Slabs,50,Rural,Purnia,0.6749
Galvanized Iron Sheet,42,Rural,Hisar,0.8465
Stone Slabs,19,Urban,Bhopal,0.7072
Lime-Finished Roofs,28,Urban,Pune,0.7018
Terracotta and Clay Tiles,12,Rural,Raichur,0.7955
Asbestos Sheet,39,Rural,Purnia,0.7386
Stone Slabs,49,Rural,Gorakhpur,0.7061
Galvanized Iron Sheet,14,Urban,Bhopal,0.8639
Metal Roofs,16,Urban,Pune,0.862
Ceramic Tiles,9,Rural,Bathinda,0.8093
Concrete Roof,44,Rural,Bathinda,0.6315
Modern Composite Sheets,38,Urban,Pune,0.8383
Terracotta and Clay Tiles,22,Rural,Wardha,0.802
Concrete Roof,33,Urban,Ahmedabad,0.6567
Ceramic Tiles,9,Rural,Gorakhpur,0.7883
Lime-Finished Roofs,30,Urban,Bengaluru,0.6662
Concrete Roof,25,Urban,Lucknow,0.6622
Tiled Roof,19,Urban,Lucknow,0.7038
Ceramic Tiles,41,Rural,Bathinda,0.7873
Galvanized Iron Sheet,36,Rural,Bathinda,0.8398
Tiled Roof,1,Urban,Delhi,0.7338
Modern Composite Sheets,50,Urban,Bhopal,0.8152
Tiled Roof,37,Urban,Jaipur,0.7078
Galvanized Iron Sheet,30,Rural,Jaisalmer,0.8571
Tiled Roof,17,Rural,Sagar,0.7152
Metal Roofs,13,Rural,Purnia,0.8414
Concrete Roof,9,Urban,Pune,0.6792
Stone Slabs,19,Rural,Sambalpur,0.699
Ceramic Tiles,45,Urban,Lucknow,0.8133
Galvanized Iron Sheet,32,Rural,Wardha,0.8716
Metal Roofs,33,Urban,Jaipur,0.8554
Terracotta and Clay Tiles,21,Rural,Bathinda,0.7855
Galvanized Iron Sheet,42,Rural,Sambalpur,0.8342
Terracotta and Clay Tiles,37,Rural,Raichur,0.8255
Modern Composite Sheets,14,Urban,Jaipur,0.8327
Terracotta and Clay Tiles,42,Urban,Chennai,0.8115
Galvanized Iron Sheet,32,Rural,Raichur,0.8574
Stone Slabs,3,Rural,Gorakhpur,0.7024
Modern Composite Sheets,45,Urban,Pune,0.8316
Tiled Roof,42,Rural,Jaisalmer,0.6716
Ceramic Tiles,45,Rural,Raichur,0.792
Asbestos Sheet,26,Rural,Sambalpur,0.7777
Concrete Roof,45,Rural,Shillong,0.6365
Terracotta and Clay Tiles,10,Rural,Sambalpur,0.8134
Galvanized Iron Sheet,32,Urban,Jaipur,0.8447
Asbestos Sheet,5,Urban,Bhopal,0.7797
Modern Composite Sheets,7,Rural,Bathinda,0.7962
Modern Composite Sheets,37,Urban,Kolkata,0.8656
Galvanized Iron Sheet,18,Rural,Raichur,0.8432
Ceramic Tiles,8,Rural,Sambalpur,0.7932
Tiled Roof,9,Urban,Bhopal,0.7133
Asbestos Sheet,2,Rural,Anantapur,0.7405
Terracotta and Clay Tiles,9,Urban,Lucknow,0.8202
Modern Composite Sheets,31,Urban,Pune,0.8585
Tiled Roof,9,Urban,Ahmedabad,0.7088
Metal Roofs,26,Rural,Gorakhpur,0.8243
Stone Slabs,19,Rural,Hisar,0.6949
Galvanized Iron Sheet,49,Urban,Pune,0.8316
Stone Slabs,23,Urban,Kolkata,0.7479
Asbestos Sheet,29,Rural,Purnia,0.7399
Ceramic Tiles,24,Rural,Sambalpur,0.8137
Concrete Roof,40,Rural,Hisar,0.6389
Galvanized Iron Sheet,17,Urban,Jaipur,0.863
Modern Composite Sheets,29,Urban,Bhopal,0.8487
Tiled Roof,45,Rural,Anantapur,0.6958
Stone Slabs,38,Urban,Mumbai,0.7219
Concrete Roof,5,Rural,Anantapur,0.6545
Concrete Roof,41,Rural,Gorakhpur,0.6464
Asbestos Sheet,33,Rural,Gorakhpur,0.7239
Lime-Finished Roofs,5,Rural,Tezpur,0.6479
Asbestos Sheet,49,Rural,Sambalpur,0.7735
Tiled Roof,34,Urban,Hyderabad,0.7207
Concrete Roof,14,Rural,Wardha,0.6411
Tiled Roof,41,Rural,Jaisalmer,0.6813
Metal Roofs,25,Urban,Ahmedabad,0.876
Asbestos Sheet,24,Rural,Tezpur,0.7651
Lime-Finished Roofs,18,Rural,Jaisalmer,0.6308
Metal Roofs,44,Rural,Anantapur,0.8702
Ceramic Tiles,46,Urban,Bengaluru,0.7931
Galvanized Iron Sheet,49,Urban,Mumbai,0.8476
Stone Slabs,10,Rural,Shillong,0.7097
Lime-Finished Roofs,12,Rural,Gorakhpur,0.6337
Asbestos Sheet,17,Rural,Anantapur,0.7461
Concrete Roof,47,Urban,Jaipur,0.6659
Tiled Roof,32,Rural,Sambalpur,0.6849
Concrete Roof,31,Rural,Bathinda,0.643
Tiled Roof,29,Urban,Delhi,0.735
Tiled Roof,44,Urban,Mumbai,0.7047
Terracotta and Clay Tiles,39,Rural,Jaisalmer,0.8092
Metal Roofs,47,Rural,Sagar,0.8255
Tiled Roof,44,Rural,Anantapur,0.6802
Lime-Finished Roofs,35,Rural,Bathinda,0.6566
Ceramic Tiles,6,Rural,Sambalpur,0.7948
Ceramic Tiles,30,Rural,Sagar,0.7818
Stone Slabs,37,Rural,Bathinda,0.6907
Ceramic Tiles,26,Urban,Bhopal,0.793
Galvanized Iron Sheet,47,Urban,Bengaluru,0.8781
Modern Composite Sheets,4,Urban,Ahmedabad,0.8496
Metal Roofs,7,Rural,Shillong,0.8586
Asbestos Sheet,18,Rural,Gorakhpur,0.7588
Modern Composite Sheets,38,Urban,Hyderabad,0.829
Terracotta and Clay Tiles,45,Rural,Raichur,0.7909
Stone Slabs,15,Urban,Chennai,0.7278
Terracotta and Clay Tiles,40,Urban,Pune,0.7911
Ceramic Tiles,16,Rural,Gorakhpur,0.7842
Metal Roofs,49,Rural,Tezpur,0.8585
Modern Composite Sheets,25,Rural,Tezpur,0.8423
Ceramic Tiles,2,Rural,Jaisalmer,0.7853
Galvanized Iron Sheet,17,Urban,Pune,0.8647
Modern Composite Sheets,48,Urban,Bengaluru,0.8153
Metal Roofs,31,Rural,Wardha,0.8271
Galvanized Iron Sheet,31,Urban,Delhi,0.8299
Metal Roofs,13,Rural,Sambalpur,0.8473
Tiled Roof,45,Urban,Ahmedabad,0.7194
Concrete Roof,28,Rural,Shillong,0.6732
Tiled Roof,8,Rural,Hisar,0.7207
Terracotta and Clay Tiles,7,Urban,Pune,0.8119
Ceramic Tiles,5,Urban,Pune,0.8229
Stone Slabs,20,Urban,Jaipur,0.7336
Asbestos Sheet,37,Rural,Wardha,0.7236
Lime-Finished Roofs,10,Urban,Delhi,0.6594
Terracotta and Clay Tiles,28,Urban,Bengaluru,0.8258
Concrete Roof,21,Urban,Bhopal,0.6698
Tiled Roof,3,Urban,Hyderabad,0.7267
Asbestos Sheet,3,Rural,Wardha,0.7314
Lime-Finished Roofs,20,Rural,Hisar,0.6513
Ceramic Tiles,24,Rural,Sagar,0.817
Stone Slabs,38,Rural,Anantapur,0.6806
Lime-Finished Roofs,33,Rural,Purnia,0.651
Lime-Finished Roofs,23,Rural,Purnia,0.6583
Ceramic Tiles,48,Rural,Gorakhpur,0.8217
Lime-Finished Roofs,3,Rural,Gorakhpur,0.6807
Ceramic Tiles,21,Urban,Chennai,0.8347
Ceramic Tiles,38,Urban,Mumbai,0.8141
Tiled Roof,38,Urban,Jaipur,0.7201
Tiled Roof,27,Rural,Hisar,0.7033
Concrete Roof,41,Urban,Mumbai,0.6684
Stone Slabs,8,Rural,Purnia,0.684
Stone Slabs,43,Urban,Mumbai,0.7092
Stone Slabs,42,Rural,Gorakhpur,0.706
Galvanized Iron Sheet,36,Rural,Tezpur,0.8452
Stone Slabs,16,Urban,Jaipur,0.7356
Terracotta and Clay Tiles,35,Urban,Lucknow,0.7988
Asbestos Sheet,34,Rural,Bathinda,0.7629
Modern Composite Sheets,30,Rural,Sambalpur,0.8195
Stone Slabs,39,Urban,Bengaluru,0.6974
Tiled Roof,38,Rural,Hisar,0.6796
Stone Slabs,16,Rural,Raichur,0.6933
Terracotta and Clay Tiles,28,Rural,Sambalpur,0.8002
Lime-Finished Roofs,22,Rural,Hisar,0.6546
Lime-Finished Roofs,6,Rural,Sambalpur,0.6442
Modern Composite Sheets,34,Rural,Tezpur,0.8328
Galvanized Iron Sheet,43,Rural,Hisar,0.8399
Terracotta and Clay Tiles,1,Urban,Bhopal,0.8117
Stone Slabs,14,Urban,Lucknow,0.6935
Ceramic Tiles,24,Rural,Bathinda,0.8133
Lime-Finished Roofs,20,Rural,Gorakhpur,0.6455
Lime-Finished Roofs,34,Rural,Bathinda,0.6596
Stone Slabs,9,Rural,Anantapur,0.7149
Lime-Finished Roofs,22,Rural,Hisar,0.6324
Tiled Roof,1,Urban,Bhopal,0.6928
Concrete Roof,13,Rural,Anantapur,0.663
Terracotta and Clay Tiles,1,Rural,Purnia,0.7881
Ceramic Tiles,26,Rural,Bathinda,0.814
Tiled Roof,11,Rural,Anantapur,0.7151
Ceramic Tiles,17,Rural,Hisar,0.7721
Terracotta and Clay Tiles,45,Urban,Mumbai,0.816
Galvanized Iron Sheet,32,Urban,Ahmedabad,0.843
Tiled Roof,27,Urban,Bhopal,0.7049
Metal Roofs,33,Urban,Bengaluru,0.8712
Terracotta and Clay Tiles,43,Rural,Anantapur,0.7991
Lime-Finished Roofs,4,Rural,Hisar,0.6592
Terracotta and Clay Tiles,3,Urban,Delhi,0.8305
Lime-Finished Roofs,46,Urban,Ahmedabad,0.6727
Terracotta and Clay Tiles,6,Urban,Chennai,0.8184
Metal Roofs,17,Urban,Lucknow,0.8559
Terracotta and Clay Tiles,20,Urban,Jaipur,0.8323
Ceramic Tiles,20,Urban,Hyderabad,0.8101
Terracotta and Clay Tiles,23,Urban,Chennai,0.8298
Galvanized Iron Sheet,38,Rural,Sambalpur,0.8318
Metal Roofs,1,Rural,Hisar,0.823
Tiled Roof,4,Rural,Raichur,0.6883
Metal Roofs,35,Rural,Purnia,0.8331
Asbestos Sheet,27,Rural,Sambalpur,0.7257
Concrete Roof,47,Urban,Pune,0.664
Metal Roofs,32,Rural,Hisar,0.8539
Tiled Roof,47,Urban,Bhopal,0.7089
Modern Composite Sheets,29,Urban,Chennai,0.857
Tiled Roof,7,Urban,Mumbai,0.7452
Terracotta and Clay Tiles,43,Urban,Delhi,0.7962
Modern Composite Sheets,5,Rural,Wardha,0.8199
Modern Composite Sheets,43,Rural,Jaisalmer,0.8424
Concrete Roof,41,Rural,Purnia,0.642
Concrete Roof,37,Rural,Purnia,0.6443
Galvanized Iron Sheet,29,Rural,Bathinda,0.8334
Ceramic Tiles,12,Urban,Kolkata,0.8035
Tiled Roof,31,Urban,Hyderabad,0.7078
Modern Composite Sheets,27,Urban,Mumbai,0.8356
Stone Slabs,26,Rural,Sambalpur,0.7272
Metal Roofs,48,Urban,Hyderabad,0.8564
Ceramic Tiles,5,Rural,Hisar,0.805
Modern Composite Sheets,46,Urban,Delhi,0.8337
Asbestos Sheet,50,Urban,Lucknow,0.7898
Stone Slabs,5,Rural,Gorakhpur,0.6739
Concrete Roof,7,Rural,Bathinda,0.6648
Asbestos Sheet,6,Urban,Mumbai,0.7791
Galvanized Iron Sheet,26,Urban,Bengaluru,0.8774
Ceramic Tiles,44,Rural,Wardha,0.8034
Tiled Roof,4,Urban,Kolkata,0.7071
Tiled Roof,50,Rural,Raichur,0.7015
Concrete Roof,45,Urban,Hyderabad,0.6742
Lime-Finished Roofs,44,Urban,Kolkata,0.6853
Lime-Finished Roofs,38,Urban,Bhopal,0.6659
Asbestos Sheet,31,Rural,Tezpur,0.723
Stone Slabs,8,Rural,Jaisalmer,0.7162
Terracotta and Clay Tiles,39,Urban,Lucknow,0.7985
Modern Composite Sheets,40,Rural,Bathinda,0.8349
Metal Roofs,42,Rural,Wardha,0.8448
Galvanized Iron Sheet,19,Urban,Pune,0.8952
Lime-Finished Roofs,23,Rural,Sagar,0.6685
Lime-Finished Roofs,14,Rural,Shillong,0.6483
Lime-Finished Roofs,40,Urban,Jaipur,0.6752
Asbestos Sheet,32,Rural,Bathinda,0.7567
Terracotta and Clay Tiles,1,Rural,Anantapur,0.8043
Tiled Roof,21,Urban,Bhopal,0.7238
Galvanized Iron Sheet,34,Rural,Tezpur,0.8213
Concrete Roof,4,Urban,Hyderabad,0.6606
Modern Composite Sheets,39,Rural,Jaisalmer,0.7992
Modern Composite Sheets,2,Rural,Sambalpur,0.8351
Asbestos Sheet,47,Urban,Kolkata,0.7657
Tiled Roof,9,Urban,Patna,0.6966
Galvanized Iron Sheet,48,Urban,Kolkata,0.8605
Asbestos Sheet,29,Urban,Hyderabad,0.7667
Stone Slabs,49,Urban,Ahmedabad,0.7102
Tiled Roof,14,Urban,Ahmedabad,0.7401
Tiled Roof,44,Rural,Wardha,0.6934
Terracotta and Clay Tiles,4,Urban,Jaipur,0.7998
Lime-Finished Roofs,6,Urban,Kolkata,0.6868
Stone Slabs,50,Urban,Bengaluru,0.718
Stone Slabs,38,Rural,Bathinda,0.7122
Stone Slabs,6,Rural,Raichur,0.697
Galvanized Iron Sheet,34,Rural,Sambalpur,0.8449
Ceramic Tiles,8,Urban,Kolkata,0.8117
Asbestos Sheet,38,Urban,Kolkata,0.7425
Modern Composite Sheets,20,Rural,Sagar,0.8156
Lime-Finished Roofs,7,Rural,Wardha,0.6467
Galvanized Iron Sheet,6,Urban,Bengaluru,0.8449
Tiled Roof,23,Rural,Gorakhpur,0.7132
Stone Slabs,37,Rural,Gorakhpur,0.687
Terracotta and Clay Tiles,28,Rural,Sagar,0.7548
Concrete Roof,20,Rural,Anantapur,0.6406
Tiled Roof,8,Rural,Sagar,0.7012
Modern Composite Sheets,33,Rural,Bathinda,0.8327
Terracotta and Clay Tiles,22,Rural,Bathinda,0.7904
Terracotta and Clay Tiles,28,Rural,Tezpur,0.7999
Ceramic Tiles,10,Urban,Mumbai,0.8232
Tiled Roof,1,Urban,Bengaluru,0.7
Metal Roofs,28,Urban,Ahmedabad,0.869
Concrete Roof,36,Urban,Hyderabad,0.6718
Concrete Roof,48,Rural,Wardha,0.6601
Terracotta and Clay Tiles,50,Urban,Jaipur,0.8086
Galvanized Iron Sheet,49,Rural,Bathinda,0.8549
Terracotta and Clay Tiles,36,Urban,Chennai,0.8262
Terracotta and Clay Tiles,28,Rural,Hisar,0.7921
Metal Roofs,40,Rural,Sambalpur,0.8484
Concrete Roof,48,Urban,Bengaluru,0.6696
Stone Slabs,43,Urban,Ahmedabad,0.7152
Metal Roofs,35,Rural,Purnia,0.8407
Stone Slabs,9,Urban,Lucknow,0.7014
Stone Slabs,11,Rural,Anantapur,0.7154
Lime-Finished Roofs,24,Rural,Anantapur,0.6486
Lime-Finished Roofs,34,Rural,Shillong,0.6406
Concrete Roof,46,Urban,Bengaluru,0.6596
Asbestos Sheet,45,Rural,Purnia,0.759
Tiled Roof,25,Rural,Raichur,0.6917
Asbestos Sheet,5,Urban,Chennai,0.7509
Concrete Roof,12,Urban,Kolkata,0.6625
Terracotta and Clay Tiles,31,Rural,Anantapur,0.7793
Stone Slabs,34,Rural,Sambalpur,0.6861
Asbestos Sheet,48,Rural,Shillong,0.7407
Metal Roofs,21,Urban,Delhi,0.8622
Modern Composite Sheets,15,Rural,Jaisalmer,0.8083
Ceramic Tiles,10,Rural,Sambalpur,0.7866
Stone Slabs,7,Rural,Sambalpur,0.6964
Ceramic Tiles,18,Rural,Hisar,0.8343
Lime-Finished Roofs,2,Rural,Jaisalmer,0.6417
Stone Slabs,25,Rural,Bathinda,0.7222
Terracotta and Clay Tiles,49,Rural,Wardha,0.8114
Lime-Finished Roofs,4,Rural,Purnia,0.6488
Terracotta and Clay Tiles,46,Urban,Lucknow,0.8016
Asbestos Sheet,32,Urban,Lucknow,0.7488
Modern Composite Sheets,49,Urban,Hyderabad,0.8495
Tiled Roof,17,Rural,Shillong,0.6707
Galvanized Iron Sheet,47,Rural,Sambalpur,0.8644
Ceramic Tiles,35,Urban,Mumbai,0.802
Tiled Roof,21,Rural,Wardha,0.6869
Terracotta and Clay Tiles,13,Rural,Wardha,0.7839
Lime-Finished Roofs,16,Urban,Hyderabad,0.6422
Metal Roofs,39,Urban,Jaipur,0.866
Lime-Finished Roofs,24,Rural,Wardha,0.6291
Metal Roofs,49,Urban,Chennai,0.8435
Ceramic Tiles,48,Rural,Anantapur,0.7776
Modern Composite Sheets,23,Rural,Hisar,0.8587
Galvanized Iron Sheet,8,Urban,Hyderabad,0.8442
Lime-Finished Roofs,33,Rural,Jaisalmer,0.6387
Asbestos Sheet,25,Rural,Shillong,0.7336
Lime-Finished Roofs,35,Urban,Lucknow,0.6524
Modern Composite Sheets,43,Rural,Shillong,0.8319
Terracotta and Clay Tiles,38,Urban,Patna,0.7988
Metal Roofs,10,Urban,Chennai,0.859
Terracotta and Clay Tiles,36,Rural,Hisar,0.8203
Metal Roofs,24,Urban,Kolkata,0.8823
Lime-Finished Roofs,24,Rural,Hisar,0.6578
Metal Roofs,32,Rural,Gorakhpur,0.8568
Tiled Roof,10,Urban,Patna,0.7289
Modern Composite Sheets,36,Urban,Mumbai,0.8367
Ceramic Tiles,21,Rural,Wardha,0.795
Galvanized Iron Sheet,10,Urban,Ahmedabad,0.8908
Galvanized Iron Sheet,39,Rural,Tezpur,0.8429
Galvanized Iron Sheet,31,Rural,Tezpur,0.8709
Modern Composite Sheets,1,Rural,Wardha,0.8393
Stone Slabs,19,Urban,Mumbai,0.7217
Modern Composite Sheets,20,Urban,Delhi,0.8697
Modern Composite Sheets,2,Rural,Anantapur,0.829
Tiled Roof,3,Rural,Gorakhpur,0.7048
Terracotta and Clay Tiles,18,Rural,Bathinda,0.8119
Lime-Finished Roofs,28,Urban,Delhi,0.6516
Ceramic Tiles,3,Rural,Jaisalmer,0.7896
Lime-Finished Roofs,13,Urban,Pune,0.6512
Tiled Roof,44,Urban,Bengaluru,0.7324
Lime-Finished Roofs,14,Rural,Shillong,0.6262
Stone Slabs,42,Urban,Kolkata,0.7171
Asbestos Sheet,26,Rural,Sambalpur,0.7522
Metal Roofs,48,Urban,Patna,0.8682
Metal Roofs,22,Rural,Gorakhpur,0.8413
Asbestos Sheet,41,Urban,Pune,0.7263
Tiled Roof,21,Rural,Raichur,0.7095
Terracotta and Clay Tiles,32,Rural,Bathinda,0.7875
Asbestos Sheet,12,Urban,Mumbai,0.7764
Asbestos Sheet,6,Urban,Hyderabad,0.7671
Galvanized Iron Sheet,23,Urban,Patna,0.8627
Metal Roofs,12,Rural,Wardha,0.8323
Terracotta and Clay Tiles,12,Urban,Bhopal,0.8163
Ceramic Tiles,48,Rural,Tezpur,0.78
Lime-Finished Roofs,50,Urban,Ahmedabad,0.6664
Ceramic Tiles,41,Rural,Jaisalmer,0.7802
Metal Roofs,48,Rural,Tezpur,0.8712
Stone Slabs,42,Urban,Mumbai,0.7362
Galvanized Iron Sheet,12,Rural,Jaisalmer,0.8463
Terracotta and Clay Tiles,27,Urban,Patna,0.794
Lime-Finished Roofs,10,Rural,Hisar,0.6572
Galvanized Iron Sheet,33,Urban,Chennai,0.8583
Tiled Roof,7,Urban,Pune,0.7213
Metal Roofs,29,Rural,Gorakhpur,0.8607
Lime-Finished Roofs,26,Urban,Delhi,0.6981
Galvanized Iron Sheet,22,Rural,Bathinda,0.8458
Asbestos Sheet,46,Urban,Delhi,0.7733
Asbestos Sheet,50,Urban,Lucknow,0.7674
Modern Composite Sheets,5,Rural,Hisar,0.8235
Ceramic Tiles,46,Rural,Jaisalmer,0.7837
Concrete Roof,30,Urban,Delhi,0.6773
Modern Composite Sheets,2,Rural,Sagar,0.8425
Metal Roofs,43,Urban,Patna,0.8784
Metal Roofs,11,Rural,Wardha,0.8418
Stone Slabs,36,Urban,Bhopal,0.7379
Ceramic Tiles,16,Urban,Delhi,0.814
Modern Composite Sheets,41,Rural,Jaisalmer,0.8381
Modern Composite Sheets,12,Urban,Patna,0.8269
Terracotta and Clay Tiles,26,Urban,Chennai,0.8079
Tiled Roof,30,Urban,Jaipur,0.6911
Galvanized Iron Sheet,35,Rural,Tezpur,0.842
Modern Composite Sheets,39,Urban,Bengaluru,0.854
Modern Composite Sheets,2,Urban,Hyderabad,0.8351
Terracotta and Clay Tiles,4,Rural,Bathinda,0.8249
Stone Slabs,48,Rural,Shillong,0.6629
Terracotta and Clay Tiles,11,Rural,Anantapur,0.7837
Lime-Finished Roofs,22,Urban,Pune,0.6657
Concrete Roof,17,Rural,Gorakhpur,0.6534
Concrete Roof,37,Rural,Wardha,0.6439
Concrete Roof,30,Urban,Chennai,0.6678
Metal Roofs,20,Rural,Sambalpur,0.8454
Galvanized Iron Sheet,2,Urban,Hyderabad,0.8549
Lime-Finished Roofs,38,Rural,Shillong,0.6556
Asbestos Sheet,8,Urban,Hyderabad,0.7687
Modern Composite Sheets,1,Urban,Patna,0.8659
Ceramic Tiles,17,Urban,Chennai,0.8127
Stone Slabs,2,Urban,Bhopal,0.7179
Metal Roofs,46,Rural,Jaisalmer,0.8458
Asbestos Sheet,30,Rural,Sagar,0.7384
Modern Composite Sheets,6,Urban,Bhopal,0.8584
Asbestos Sheet,10,Rural,Gorakhpur,0.7498
